Oblast type,Oblast,Damage,retrieved
Frontline,Donetska,26.2,"11/03/2022, 23:07:44"
Frontline,Zaporizka,6.0,"11/03/2022, 23:07:44"
Frontline,Luhanska,16.7,"11/03/2022, 23:07:44"
Frontline,Mykolaivska,3.7,"11/03/2022, 23:07:44"
Frontline,Odeska,0.3,"11/03/2022, 23:07:44"
Frontline,Kharkivska,14.4,"11/03/2022, 23:07:44"
Frontline,Khersonska,4.4,"11/03/2022, 23:07:44"
Support,"Support regions, subtotal",0.9,"11/03/2022, 23:07:44"
Support,Vinnytska,0.1,"11/03/2022, 23:07:44"
Support,Dnipropetrovska,0.5,"11/03/2022, 23:07:44"
Support,Kirovohradska,0.1,"11/03/2022, 23:07:44"
Support,Poltavska,0.1,"11/03/2022, 23:07:44"
Support,Cherkaska,0.1,"11/03/2022, 23:07:44"
Support,"Backline regions, subtotal",0.2,"11/03/2022, 23:07:44"
Support,Volynska,0.0,"11/03/2022, 23:07:44"
Support,Zakarpatska,0.05,"11/03/2022, 23:07:44"
Support,Ivano-Frankivska,0.02,"11/03/2022, 23:07:44"
Support,Lvivska,0.07,"11/03/2022, 23:07:44"
Support,Rivnenska,0.02,"11/03/2022, 23:07:44"
Support,Ternopilska,0.01,"11/03/2022, 23:07:44"
Support,Khmelnytska,0.02,"11/03/2022, 23:07:44"
Support,Chernivetska,0.0,"11/03/2022, 23:07:44"
Regained,"Regions where government has regained control, subtotal",22.4,"11/03/2022, 23:07:44"
Regained,Kyiv (city),1.1,"11/03/2022, 23:07:44"
Regained,Zhytomyrska,0.8,"11/03/2022, 23:07:44"
Regained,Kyivska,11.2,"11/03/2022, 23:07:44"
Regained,Sumska,2.9,"11/03/2022, 23:07:44"
Regained,Chernihivska,6.4,"11/03/2022, 23:07:44"
Unspecified,"Not specified, subtotal",2.2,"11/03/2022, 23:07:44"
