,Oblast type,Oblast,Damage,retrieved
0,Frontline,Donetska,26.2,"01/05/2023, 12:34:30"
1,Frontline,Zaporizka,6.0,"01/05/2023, 12:34:30"
2,Frontline,Luhanska,16.7,"01/05/2023, 12:34:30"
3,Frontline,Mykolaivska,3.7,"01/05/2023, 12:34:30"
4,Frontline,Odeska,0.3,"01/05/2023, 12:34:30"
5,Frontline,Kharkivska,14.4,"01/05/2023, 12:34:30"
6,Frontline,Khersonska,4.4,"01/05/2023, 12:34:30"
8,Support,Vinnytska,0.1,"01/05/2023, 12:34:30"
9,Support,Dnipropetrovska,0.5,"01/05/2023, 12:34:30"
10,Support,Kirovohradska,0.1,"01/05/2023, 12:34:30"
11,Support,Poltavska,0.1,"01/05/2023, 12:34:30"
12,Support,Cherkaska,0.1,"01/05/2023, 12:34:30"
14,Support,Volynska,0.0,"01/05/2023, 12:34:30"
15,Support,Zakarpatska,0.05,"01/05/2023, 12:34:30"
16,Support,Ivano-Frankivska,0.02,"01/05/2023, 12:34:30"
17,Support,Lvivska,0.07,"01/05/2023, 12:34:30"
18,Support,Rivnenska,0.02,"01/05/2023, 12:34:30"
19,Support,Ternopilska,0.01,"01/05/2023, 12:34:30"
20,Support,Khmelnytska,0.02,"01/05/2023, 12:34:30"
21,Support,Chernivetska,0.0,"01/05/2023, 12:34:30"
23,Regained,Kyiv (city),1.1,"01/05/2023, 12:34:30"
24,Regained,Zhytomyrska,0.8,"01/05/2023, 12:34:30"
25,Regained,Kyivska,11.2,"01/05/2023, 12:34:30"
26,Regained,Sumska,2.9,"01/05/2023, 12:34:30"
27,Regained,Chernihivska,6.4,"01/05/2023, 12:34:30"
28,Unspecified,"Not specified, subtotal",2.2,"01/05/2023, 12:34:30"
